"","Intercept","Competitive.rescale","Complexity.rescale","CWMBranching.rescale","CWMBrooding.rescale","CWMFecundity.rescale","CWMMaxsize.rescale","Depth_m.rescale","Generalist.rescale","Habitat","no_genera.rescale","Rao.rescale","StressTolerant.rescale","Weedy.rescale","df","logLik","AICc","delta","weight"
"3",2.54345070900265,NA,0.373686951688515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,15.8740901490734,-21.0740229947761,0,0.435520843707983
"515",2.54153424480344,NA,0.425951938961465,NA,NA,NA,NA,NA,NA,NA,-0.0717950064671427,NA,NA,NA,6,15.0211646502653,-17.0877838459852,3.98623914879087,0.0593482765753835
"259",2.4474128637205,NA,0.287373757443651,NA,NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,7,15.8622093366572,-16.4370623514753,4.63696064330078,0.0428652868931007
"4099",2.54455858009651,NA,0.420000746801274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0707203008295119,6,14.6663943224728,-16.3782431904002,4.69577980437587,0.0416229939820586
"643",2.51371937024637,NA,0.381655758759477,NA,NA,NA,NA,NA,0.194553598529995,NA,-0.146632355706567,NA,NA,NA,7,15.7185540927377,-16.1497518636362,4.92427113113985,0.0371293250920859
"7",2.54338320523924,NA,0.380416589497516,0.0591008693171048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,14.4476803919421,-15.9408153293388,5.13320766543732,0.0334462216148142
"131",2.53807940506701,NA,0.352552325289982,NA,NA,NA,NA,NA,0.0407059075944986,NA,NA,NA,NA,NA,6,14.3028954220603,-15.6512453895752,5.42277760520084,0.0289379491788023
"4",2.55291252741374,0.0503689953070804,0.357736431510116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,14.2944296688393,-15.6343138831331,5.43970911164299,0.0286940016988664
"11",2.54010865350345,NA,0.382174309645717,NA,-0.0478162320590631,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,14.2664782878137,-15.5784111210819,5.49561187369418,0.0279030700346226
"2051",2.54152674393199,NA,0.393978417866904,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0409827340036525,NA,6,14.0976546782089,-15.2407639018723,5.83325909290375,0.0235685479749055
"1027",2.54148269656443,NA,0.37496146785933,NA,NA,NA,NA,NA,NA,NA,NA,-0.0288786190156014,NA,NA,6,13.8326201308362,-14.710694807127,6.3633281876491,0.0180813055662468
"67",2.54290383383037,NA,0.37164165997969,NA,NA,NA,NA,0.00385017322351894,NA,NA,NA,NA,NA,NA,6,13.830244854743,-14.7059442549404,6.36807873983563,0.0180384084398282
"35",2.54535745473157,NA,0.372248931244135,NA,NA,NA,0.029070306239861,NA,NA,NA,NA,NA,NA,NA,6,13.809379476085,-14.6642134976245,6.40980949715155,0.0176659296860205
"19",2.54719001897785,NA,0.378288504217714,NA,NA,-0.0225362429909561,NA,NA,NA,NA,NA,NA,NA,NA,6,13.6365376859118,-14.3185299172781,6.75549307749798,0.014861829061525
"2563",2.54313261022974,NA,0.43757123386697,NA,NA,NA,NA,NA,NA,NA,-0.134098279944906,NA,0.0701931524381999,NA,7,13.7976214022986,-12.3078864827581,8.76613651201794,0.00543834290109881
