"","Intercept","Competitive.rescale","Complexity.rescale","CWMBranching.rescale","CWMBrooding.rescale","CWMFecundity.rescale","CWMMaxsize.rescale","Depth_m.rescale","Generalist.rescale","Habitat","no_genera.rescale","Rao.rescale","StressTolerant.rescale","Weedy.rescale","df","logLik","AICc","delta","weight"
"259",3.16486444854934,NA,0.408836240217829,NA,NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,7,-30.4733279103641,77.0207298948023,0,0.132686681324329
"3",2.85256510260312,NA,0.486574784365218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,-33.3176877622796,77.7068040959878,0.686074201185519,0.0941560459229387
"323",3.00004948143052,NA,0.425122006754718,NA,NA,NA,NA,-0.249066847397886,NA,"+",NA,NA,NA,NA,8,-30.4293171097598,79.575615351595,2.55488545679273,0.0369863098859894
"257",2.9299030213785,NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,6,-33.1646844353502,79.8566415979731,2.83591170317081,0.0321378581845177
"1283",3.08044618096615,NA,0.42558146151015,NA,NA,NA,NA,NA,NA,"+",NA,-0.159986316192191,NA,NA,8,-30.8332746795897,80.3835304912548,3.36280059645256,0.0246947401426073
"7",2.85820561484644,NA,0.391895232982869,-0.128857046876836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,-33.6590263762849,80.8453254798426,3.82459558504027,0.019603199191462
"2051",2.86171430631636,NA,0.393061568399169,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.156099315429626,NA,6,-33.6851267465294,80.8975262203315,3.87679632552923,0.0190981678568519
"2307",3.19330012026026,NA,0.354136426906132,NA,NA,NA,NA,NA,NA,"+",NA,NA,0.127629656218992,NA,8,-31.1207354341469,80.9584520003692,3.93772210556693,0.0185251546015064
"2563",2.85476935260276,NA,0.407652222658574,NA,NA,NA,NA,NA,NA,NA,-0.301918210337072,NA,0.342394340209089,NA,7,-32.5616240353223,81.1973221447187,4.17659224991644,0.0164396227869648
"3331",3.06347174155291,NA,0.332502213910792,NA,NA,NA,NA,NA,NA,"+",NA,-0.295719974164642,0.245910874785039,NA,9,-30.1056758137136,81.6728900889656,4.65216019416334,0.0129605544599109
"2305",3.02629797077372,NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,0.206944087081866,NA,7,-32.8120111937059,81.6980964614859,4.67736656668362,0.0127982351965374
"771",3.13143617022397,NA,0.436916649760055,NA,NA,NA,NA,NA,NA,"+",-0.0856142272252456,NA,NA,NA,8,-31.4912809242953,81.699542980666,4.67881308586371,0.0127889820967957
"1027",2.82268740913142,NA,0.520268777659864,NA,NA,NA,NA,NA,NA,NA,NA,-0.104889881947223,NA,NA,6,-34.1168739967412,81.7610207207551,4.74029082595277,0.0124018438174769
"3329",2.90436243370757,NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,-0.303194716868982,0.322195477553982,NA,8,-31.5735453880495,81.8640719081744,4.84334201337211,0.0117790150515514
"263",3.16915491770194,NA,0.370589292241667,-0.0801659613735761,NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,8,-31.5898329639204,81.8966470599162,4.87591716511392,0.0115887174008362
"515",2.84590700156194,NA,0.533438383728175,NA,NA,NA,NA,NA,NA,NA,-0.103632030759448,NA,NA,NA,6,-34.1921279363628,81.9115285999983,4.89079870519598,0.0115028084303955
"387",3.19355279907748,NA,0.408233624165427,NA,NA,NA,NA,NA,0.0602848655155702,"+",NA,NA,NA,NA,8,-31.6002862737945,81.9175536796645,4.89682378486222,0.0114682079057034
"4099",2.85233769075396,NA,0.509956696353725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0976186910914208,6,-34.2525677476312,82.0324082225352,5.01167832773291,0.0108281736161653
"11",2.85867768055041,NA,0.472747062697238,NA,-0.0935852969384627,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,-34.2767400563456,82.080752839964,5.06002294516171,0.0105695697783437
"260",3.17087073818092,0.0582524751089384,0.38441267358592,NA,NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,8,-31.6915557920765,82.1000927162285,5.0793628214262,0.010467855271586
"67",2.85692573354356,NA,0.453122240777783,NA,NA,NA,NA,0.0590586943140542,NA,NA,NA,NA,NA,NA,6,-34.306222937528,82.1397186023287,5.1189887075264,0.0102624973414941
"35",2.86532850595735,NA,0.458103968138478,NA,NA,NA,0.084836194108635,NA,NA,NA,NA,NA,NA,NA,6,-34.3793335319486,82.28593979117,5.26520989636774,0.00953897103147704
"4355",3.13889269539797,NA,0.421110060306234,NA,NA,NA,NA,NA,NA,"+",NA,NA,NA,-0.0624822348482927,8,-31.8229064114535,82.3627939549825,5.34206406018023,0.00917936967481742
"6147",2.86964323507918,NA,0.356288476429111,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.271613505793972,-0.17958202711825,7,-33.2394109558394,82.5528959857529,5.53216609095062,0.00834704449920498
"291",3.16283117103476,NA,0.402540009572995,NA,NA,NA,0.028279155614236,NA,NA,"+",NA,NA,NA,NA,8,-31.946685648206,82.6103524284875,5.58962253368526,0.00811066046085908
"131",2.85304396929569,NA,0.485564725436582,NA,NA,NA,NA,NA,0.00817341185923029,NA,NA,NA,NA,NA,6,-34.5536184856045,82.6345096984817,5.61377980367942,0.0080132840246611
"3075",2.79679348459167,NA,0.406141353917153,NA,NA,NA,NA,NA,NA,NA,NA,-0.250669901007376,0.264745632391517,NA,7,-33.2848422187879,82.6437585116499,5.62302861684762,0.00797631289191808
"4",2.85455514945982,0.0271637919697431,0.477115058803244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,-34.6206966485805,82.7686660244337,5.74793612963137,0.0074933990375519
"267",3.16148215170148,NA,0.409431618892438,NA,-0.0403587641010546,NA,NA,NA,NA,"+",NA,NA,NA,NA,8,-32.0464194718321,82.8098200757397,5.78909018093745,0.0073407827528812
"2819",3.12505257737718,NA,0.35602477666313,NA,NA,NA,NA,NA,NA,"+",-0.236028496248656,NA,0.269914561146791,NA,9,-30.7087406061073,82.8790196737531,5.85828977895079,0.00709113689799717
"275",3.16262652760737,NA,0.419724900548035,NA,NA,0.0380233496405947,NA,NA,NA,"+",NA,NA,NA,NA,8,-32.1805757229072,83.0781325778898,6.0574026830875,0.00641917258110063
"19",2.84527435020299,NA,0.491178316716229,NA,NA,0.0554076349003568,NA,NA,NA,NA,NA,NA,NA,NA,6,-34.7898947277987,83.1070621828702,6.08633228806789,0.0063269888347055
"321",2.80902211977673,NA,NA,NA,NA,NA,NA,-0.172843161497261,NA,"+",NA,NA,NA,NA,7,-33.5322713278136,83.1386167297013,6.11788683489897,0.00622794954138411
"261",2.9698844855641,NA,NA,-0.121102956195828,NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,7,-33.6282793204404,83.3306327149548,6.3099028201525,0.00565782283119214
"1347",2.95505974253931,NA,0.437488376282767,NA,NA,NA,NA,-0.210078665247815,NA,"+",NA,-0.134539236011935,NA,NA,9,-31.0169694751721,83.4954774118827,6.47474751708037,0.00521019254007532
"1281",2.85244932431094,NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,-0.132508203968374,NA,NA,7,-33.7643125913356,83.6026992567453,6.58196936194298,0.00493822467224357
"258",2.9728764573325,0.12650195624245,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,7,-33.812086648778,83.6982473716301,6.6775174768278,0.00470785236734074
"2817",2.96906682758245,NA,NA,NA,NA,NA,NA,NA,NA,"+",-0.221411744763441,NA,0.355000300169034,NA,8,-32.5261956755599,83.7693724831953,6.74864258839298,0.00454337112609288
"7171",2.79778543006467,NA,0.36834292858274,NA,NA,NA,NA,NA,NA,NA,NA,-0.27779551538591,0.389269937810198,-0.181976843295303,8,-32.5470869882304,83.8111551085363,6.79042521373398,0.00444943874108248
"2371",3.04405909103212,NA,0.377339410648208,NA,NA,NA,NA,-0.221046011000301,NA,"+",NA,NA,0.109753621842786,NA,9,-31.266220919633,83.9939803008044,6.97325040600208,0.00406074058261509
"7425",2.85537437246629,NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,-0.337358217353342,0.434984260875574,-0.154443985217591,9,-31.389191810737,84.2399220830125,7.21919218821023,0.00359086986502845
"4419",2.92206525391622,NA,0.444534835504274,NA,NA,NA,NA,-0.310837849149026,NA,"+",NA,NA,NA,-0.0862717234387725,9,-31.44301628812,84.3475710377784,7.32684114297612,0.00340270259925053
"835",2.9676963806758,NA,0.452118348987747,NA,NA,NA,NA,-0.247555500854741,NA,"+",-0.0839576732393654,NA,NA,NA,9,-31.4849321615125,84.4314027845635,7.4106728897612,0.00326302319022148
"451",3.02724525491125,NA,0.424961229781771,NA,NA,NA,NA,-0.261345119813458,0.0741018987522404,"+",NA,NA,NA,NA,9,-31.4894699869622,84.4404784354629,7.41974854066061,0.00324824970564419
"2055",2.86636595567628,NA,0.31199919352029,-0.119953967901943,NA,NA,NA,NA,NA,NA,NA,NA,0.13966319545961,NA,7,-34.1878759702341,84.4498260145423,7.42909611974005,0.0032331034928246
"385",2.95842234181642,NA,NA,NA,NA,NA,NA,NA,0.0594808766259384,"+",NA,NA,NA,NA,7,-34.2711969960065,84.616468066087,7.59573817128475,0.00297463542077338
"2053",2.9098123697842,NA,NA,-0.195162664955241,NA,NA,NA,NA,NA,NA,NA,NA,0.271521940594156,NA,6,-35.5464179950788,84.6201087174303,7.59937882262798,0.00296922554091868
"327",3.00867671977974,NA,0.38940461127431,-0.0755390658387996,NA,NA,NA,-0.242778667392381,NA,"+",NA,NA,NA,NA,9,-31.6066930020855,84.6749244657094,7.65419457090709,0.00288895049034144
"6403",3.15061349164942,NA,0.329330399388827,NA,NA,NA,NA,NA,NA,"+",NA,NA,0.210039761192222,-0.126524562956904,9,-31.6189711563875,84.6994807743134,7.67875087951111,0.00285369638103475
"3587",2.8153372325652,NA,0.41409403254,NA,NA,NA,NA,NA,NA,NA,-0.249613128783048,-0.156533020903717,0.379001518344821,NA,8,-32.9923953441342,84.7017718203439,7.68104192554159,0.00285042927778002
"1411",3.11098549874693,NA,0.422432681029158,NA,NA,NA,NA,NA,0.109121303384425,"+",NA,-0.194694768559332,NA,NA,9,-31.6345504698462,84.7306394012309,7.70990950642857,0.00280958227658845
