Source,Year,Province,Country,Island,Habitat,Management,Site,Corallivore.biom,Herbivore.biom,Invertivore.biom,Mixed-diet.biom,Piscivore.biom,Planktivore.biom,Depth_m,Latitude,Longitude,Complexity,FishBiomass,FishDiversity,FishAbundance,FishAbundance_20cm,Fric,Rao,dbfd_FRic,dbfd_FEve,dbfd_FDis,dbfd_FDiv,dbfd_RaoQ,CWMBranching,CWMPlating,CWMDomed,CWMMaxsize,CWMGrowthrate,CWMBrooding,CWMSpawning,CWMFecundity,total_cover,no_genera,Competitive,StressTolerant,Weedy,Generalist,noLH,Acanthastrea,Acropora,Acropora_branching,Acropora_massive,Acropora_plating,Alveopora,Astreopora,Caulastrea,Coeloseris,Coscinaraea,Ctenactis,Cycloseris,Cyphastrea,Diploastrea,Echinophyllia,Echinopora,Echinopora_branching,Echinopora_massive,Echinopora_plating,Euphyllia,Favia,Favites,Fungia,Galaxea,Gardineroseris,Goniastrea,Goniopora,Halomitra,Heliopora,Hydnophora,Hydnophora_branching,Hydnophora_massive,Hydnophora_plating,Isopora,Isopora_massive,Leptastrea,Leptoria,Lobophyllia,Merulina,Millipora,Montastrea,Montipora,Montipora_massive,Montipora_plating,Mycedium,Oulaphyllia,Oxypora,Pachyseris,Pavona,Pavona_massive,Pectinia,Physogyra,Platygyra,Plerogyra,Pocillopora,Polyphyllia,Porites,Porites_branching,Porites_massive,Psammocora,Seriatopora,Stylophora,Symphyllia,Tubastrea,Tubipora,Turbinaria,CoralMethod,FishMethod
Graham,2010,Australian,Australia,Davies,Crest,Fished,DaviesExposedCrest1,4.947583765,540.2692887,486.8635163,30.21939159,13.55310932,23.27629413,2.5,-18.81833333,147.6654167,2.75,1068.221364,59,406.5,348,10,1.227911901,2.757578714,0.572978233,0.18075596,0.592585263,0.044156308,0.735017806,0.401844991,0.249252388,292.5571426,49.2433519,0.107470145,0.892529855,33.72103804,42.34848485,10,32.07323232,2.3125,2.912626263,5.050126263,0,0,0,21.55808081,3.505050505,7.01010101,0,0,0,0,1.01010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,5.762626263,0,0,0,1.5,0,0,2.346801347,3,0,0,0,PointInterceptTransect_50m,BeltTransects_250m2
Graham,2010,Australian,Australia,Davies,Crest,Fished,DaviesExposedCrest2,3.268430583,712.1560562,70.05012846,10.9032626,4.501186616,41.84903829,2.5,-18.81686111,147.6673611,2.63,795.6116456,55,271.5,221,11,1.202443464,1.682599151,0.654634486,0.210580571,0.52785403,0.055308162,0.737432124,0.364030978,0.323860662,293.1096135,47.75754916,0.157210196,0.842789804,25.2578608,48.5,11,35.5,3.5625,4.7,4.7375,0,0,0,24,7.75,3.75,0,1,0,0,0,0,0,1.5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.75,0,0,0,2.5,0,0,3.25,0,0,0,0,PointInterceptTransect_50m,BeltTransects_250m2
Graham,2010,Australian,Australia,Davies,Crest,Fished,DaviesExposedCrest3,3.230661444,931.3267869,67.72973541,22.80934821,40.48048102,20.57213731,2.5,-18.81038889,147.6711944,2.25,981.2694969,49,361,304.5,13,1.201893795,3.522314885,0.671030071,0.22202833,0.632154836,0.055942833,0.641843162,0.36509997,0.406101202,304.1326527,45.46154751,0.116007783,0.883992217,23.17803776,41,13,27.75,5.375,2.75,5.125,0,0,0,16.25,7,4.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1.666666667,0,0,1.25,1.333333333,0,0,0,PointInterceptTransect_50m,BeltTransects_250m2
Graham,2010,Australian,Australia,Davies,Crest,Fished,DaviesShelteredCrest1,0,414.5969533,29.67066038,24.18725114,12.57095443,52.56150173,2.5,-18.80180556,147.6558056,2.25,522.5788091,50,415.75,382.25,22,1.410866782,3.194229336,0.787365812,0.226078559,0.738207287,0.058653242,0.479548439,0.215741646,0.561209091,204.9116421,29.58000011,0.164124522,0.835875478,89.75747745,41.75,22,15.75,15.9375,3.85,6.2125,0,0,0,10.5,3,2.666666667,0,1,0,0,1,0,0,2,1.666666667,0,0,0,0,1,0,1,1.666666667,0,0,0,2.5,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1.5,0,2.75,0,0,0,0,0,0,0,0,0,2.333333333,0,3,0,0,0,5,1,0,3.25,2,0,0,1,PointInterceptTransect_50m,BeltTransects_250m2
Graham,2010,Australian,Australia,Davies,Crest,Fished,DaviesShelteredCrest2,2.823862273,434.9784721,121.5582077,81.98465976,0.39788,46.0906038,2.5,-18.80294444,147.6511111,2.88,631.7836873,52,439.5,413,22,1.237889903,2.834267022,0.753840572,0.217772236,0.703656759,0.052461126,0.586502423,0.364305933,0.442118493,272.4350784,41.16763018,0.108427074,0.891572926,58.7250408,55.77777778,22,33.66666667,10.05050505,2.711616162,8.846464646,0,0,0,20.86111111,5.512626263,6.787878788,0,1,0,0,2,0,0,2.015151515,0,0,0,0,1.006734007,0,0,1.67003367,1,0,0,0,2.343434343,0,0,0,0,0,0,0,0,0,1,1.01010101,0,0,0,1.003367003,0,2.01010101,2.02020202,0,1.01010101,0,0,4.04040404,0,0,1.01010101,3.03030303,0,4.77020202,0,0,0,3.522727273,0,0,2.01010101,1,1,0,1,PointInterceptTransect_50m,BeltTransects_250m2
Graham,2010,Australian,Australia,Davies,Crest,Fished,DaviesShelteredCrest3,6.8320308,344.3817559,38.34653725,39.83866549,1.42883,74.35094506,2.5,-18.80358333,147.6472222,2.5,433.8759877,50,542.75,519.25,17,1.220909309,2.687457262,0.703397931,0.213339129,0.721279283,0.054617413,0.675787867,0.357022129,0.353305191,276.9796933,43.89742895,0.143211227,0.856788773,28.89308628,48,17,31.25,7.5625,4,5.1875,0,0,0,21.75,4.5,5,0,1,1,0,0,0,0,1,1.5,0,0,0,2,0,0,1,0,0,0,4,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,3.75,0,0,0,3,0,0,3.25,1,0,0,0,PointInterceptTransect_50m,BeltTransects_250m2
Graham,2010,Australian,Australia,Davies,Flat,Fished,DaviesExposedFlat1,0.412770665,214.2539495,24.77313596,5.089235827,0.716445,0,1.5,-18.81833333,147.6654167,1.5,236.417252,34,266,255,8,1.108633345,0.983186562,0.560027322,0.184325955,0.529074201,0.041464631,0.711656097,0.453632215,0.325345651,339.7307624,53.06860771,0.077977468,0.922022532,25.21874042,39.5,8,34.5,2.8125,0.6,1.5875,0,0,0,23,5.75,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.666666667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0,2,0,0,0,0,0,0,0,PointInterceptTransect_50m,BeltTransects_250m2
Graham,2010,Australian,Australia,Davies,Flat,Fished,DaviesExposedFlat2,1.743392428,180.1883085,21.30354406,24.28945957,0,0.419625804,1.5,-18.81686111,147.6673611,1.5,215.8012066,36,284.75,276.75,10,1.148091579,1.428859424,0.533709723,0.184046752,0.664312663,0.040616612,0.663645867,0.481499051,0.319638351,338.3728642,50.85846302,0.061336144,0.938663856,35.99631704,31.23969072,10,26.19329897,2.343427835,0.453092784,2.249871134,0,0,0,16.35051547,3.538659794,6.304123711,0,1.030927835,0,0,0,0,0,0,0,0,0,0,0,0,0,1.015463918,0,0,0,0,1.015463918,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.265463918,0,0,0,1.015463918,0,0,0,0,0,0,0,PointInterceptTransect_50m,BeltTransects_250m2
Graham,2010,Australian,Australia,Davies,Flat,Fished,DaviesExposedFlat3,2.176046753,390.3257423,41.33071107,34.19815912,0.25056,0.419625804,1.5,-18.81038889,147.6711944,1.38,440.8028724,37,305.75,278.75,9,1.153020217,1.217698016,0.606152852,0.21629092,0.564018269,0.052156038,0.660107335,0.421546979,0.430682416,356.4503397,48.81698307,0.093707141,0.906292859,43.85827063,35,9,28,4,0.5,2,0,1,0,15.75,8.5,3.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,3.333333333,0,0,0,1,0,0,0,0,0,0,0,PointInterceptTransect_50m,BeltTransects_250m2
Graham,2010,Australian,Australia,Davies,Flat,Fished,DaviesShelteredFlat1,1.484518767,389.0433024,27.7815224,13.65565209,240.7478831,9.300672598,1.5,-18.80180556,147.6558056,2,554.9309379,42,413.75,371.75,12,1.228254873,1.379855568,0.643013937,0.223440473,0.658823705,0.054806216,0.67628199,0.375983505,0.44761462,333.1271246,47.88401958,0.11211409,0.88788591,43.97002769,36.5,12,28,4.6875,0.8,3.0125,0,0,0,16.75,9.25,2.666666667,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,1,0,2.75,0,0,0,1.666666667,0,0,1,1,0,0,0,PointInterceptTransect_50m,BeltTransects_250m2
Graham,2010,Australian,Australia,Davies,Flat,Fished,DaviesShelteredFlat2,4.429976137,503.8115724,33.30407437,15.53336988,271.5131359,9.407267625,1.5,-18.80294444,147.6511111,2,807.0133924,48,372.25,341.25,13,1.277138692,1.940644555,0.645881346,0.222401821,0.639266642,0.054776962,0.626654595,0.318982305,0.427842893,273.2999564,41.44398227,0.111143128,0.888856872,60.19189379,40.5,13,24.25,6.9375,2.15,7.1625,0,1,0,14,6.5,3.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,1.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.75,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,2.5,0,0,3,1,0,0,0,PointInterceptTransect_50m,BeltTransects_250m2
Graham,2010,Australian,Australia,Davies,Flat,Fished,DaviesShelteredFlat3,4.63351766,741.8188464,36.56760014,24.18772453,0,15.52442419,1.5,-18.80358333,147.6472222,2,752.9768323,45,393.75,353.75,13,1.226659012,1.369285467,0.632668678,0.215491671,0.718561895,0.050248286,0.536704817,0.475284579,0.4571398,365.6619212,44.86644668,0.094924423,0.905075577,28.90111364,43.75,13,33,4.6875,1,4.8125,0,0,0,14.5,7.75,10.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1.5,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,3.333333333,0,0,0,1,0,0,0,PointInterceptTransect_50m,BeltTransects_250m2
Graham,2010,Australian,Australia,Davies,Slope,Fished,DaviesExposedSlope1,4.674591104,863.4706765,457.6837664,320.2688568,48.23300261,182.6288466,8,-18.81833333,147.6654167,3.63,1873.694888,73,684,632,26,1.425404511,2.753883467,0.747124548,0.199279861,0.752758118,0.04600954,0.584313072,0.256563819,0.448161783,166.4729514,32.88557586,0.155873904,0.844126096,99.94893046,51.25,26,17.5,15.1875,5.3,13.0125,0,0,0,14.25,1,1.75,0,1.333333333,0,0,0,0,0,2,0,0,0,3.333333333,1.333333333,1,0,2,1,1,1,0,2.75,0,1,0,0,1.333333333,0,0,0,0,0,1,1.5,1,0,2.5,0,2.5,0,1.5,1,1,0,1,0,0,0,1,0,6.5,0,0,0,6,0,2.666666667,2.666666667,1,0,0,0,PointInterceptTransect_50m,BeltTransects_250m2
Graham,2010,Australian,Australia,Davies,Slope,Fished,DaviesExposedSlope2,3.918821009,547.2985368,116.8929041,134.5242136,21.34490904,259.7575535,8,-18.81686111,147.6673611,3.5,1023.596336,60,637,557.5,32,1.294599475,4.281433501,0.78707021,0.205513873,0.834159046,0.048689696,0.573637042,0.285408721,0.445965117,215.2692343,34.8082918,0.111704486,0.889810665,73.57928608,59.5,29,23.75,14.375,4.9,16.475,0,0,0,16.75,2,4.25,2,1,0,0,2.333333333,1,0,2,1.75,0,0,1.5,0,1.5,0,1,1.5,1,1,0,1.75,1,0,0,0,2,0,1,0,0,0,1,1,1.333333333,0,2,0,2.5,1,1,0,0,0,1.333333333,0,0,1,1.5,0,8.25,0,0,1,4,0,2,1.333333333,0,0,0,1,PointInterceptTransect_50m,BeltTransects_250m2
Graham,2010,Australian,Australia,Davies,Slope,Fished,DaviesExposedSlope3,6.627927683,744.762303,202.2897294,174.8542744,40.65766337,173.1129109,8,-18.81038889,147.6711944,3.63,1328.811674,58,644.5,581,28,1.479733461,3.027951725,0.768172906,0.212787954,0.824222635,0.05047804,0.446708687,0.228297491,0.542532341,181.9581149,25.58285174,0.182700492,0.851685482,157.9214081,58.25,26,12.25,22.4375,10.05,13.5125,0,0,0,5.5,0,4.5,0,2.5,1,0,0,0,0,1.333333333,1,0,0,1,0,2.5,0,1,1.666666667,0,0,0,1.5,1,0,0,0,3,0,1,0,0,0,1,1.25,0,0,2,0,1.5,0,3.333333333,0,2,2,1,0,0,1,1.25,0,7.75,0,0,7.666666667,10.75,0,1.5,2,2,0,0,0,PointInterceptTransect_50m,BeltTransects_250m2
Graham,2010,Australian,Australia,Davies,Slope,Fished,DaviesShelteredSlope1,3.272012469,239.5585087,38.46741409,110.8817146,0.318565,61.94003567,8,-18.80180556,147.6558056,2.38,380.0232271,54,466,443.5,24,1.417844689,3.047127828,0.733246128,0.204996285,0.711335187,0.050829033,0.477502706,0.160559906,0.54590711,171.32334,26.89475259,0.164600845,0.835399155,87.30809974,35.25,24,8.5,14.1875,3.65,8.6625,0,0,0,6.5,0,1.666666667,0,0,0,0,0,1,0,1,2.25,0,0,0,0,0,0,1.5,1,1,1,0,1.5,1,0,0,0,3,0,0,0,0,0,1,0,0,0,1.333333333,0,3.75,0,1,1,0,1,0,0,0,0,2,0,5.75,0,0,0,6.25,1,1.5,2.333333333,0,0,0,1,PointInterceptTransect_50m,BeltTransects_250m2
Graham,2010,Australian,Australia,Davies,Slope,Fished,DaviesShelteredSlope2,3.275397003,192.1235938,61.5721991,178.7104313,46.49959006,171.2901533,8,-18.80294444,147.6511111,2.25,561.3484788,57,695,659,28,1.448234382,3.185553798,0.792994876,0.199829685,0.753509762,0.046862518,0.420592189,0.210389018,0.574950098,140.9947584,25.2384287,0.154285365,0.845714635,192.7293941,46.12373737,28,9.275252525,20.67992424,4.513636364,10.90492424,0,0,0,6.77020202,0,2.006734007,0,1.666666667,0,0,0,1,0,1.01010101,1,0,0,1.5,1,0,1,3,2.006734007,1.51010101,1.51010101,0,1.676767677,0,0,0,0,1,0,0,0,0,0,0,1.003367003,0,0,1.5,0,3.343434343,1.5,1,1,2,2,0,0,0,0,3.006734007,0,6.267676768,0,0,0,7.522727273,0,2.34006734,2.006734007,1.5,1,0,2.343434343,PointInterceptTransect_50m,BeltTransects_250m2
Graham,2010,Australian,Australia,Davies,Slope,Fished,DaviesShelteredSlope3,4.66933214,107.7852928,17.51207788,128.8984978,61.37257354,122.8125657,8,-18.80358333,147.6472222,3.63,384.3019409,48,716.5,690.5,32,1.441865093,2.57129306,0.760780311,0.20798759,0.820006425,0.050990671,0.402893822,0.213257133,0.623531079,189.4761607,25.182067,0.133347674,0.871369307,172.9691245,50.25,31,9.25,23.6875,3.35,12.7125,0,0,0,7.5,0,1.5,1,1,0,0,0,0,0,1,2.75,0,0,1,0,1.333333333,2,1.333333333,1.5,3,2,0,3.5,1,0,0,0,1,0,0,0,0,0,0,2,1.5,0,2,0,2.25,1,2,1,1,3.5,1.333333333,0,0,0,3,1.5,5.5,0,0,3,9,0,2,4,1,2,0,0,PointInterceptTransect_50m,BeltTransects_250m2
