,Estimate,Std..Error,Adjusted.SE,Lower.CI,Upper.CI
(Intercept),74.52248446,115.6338166,116.5573995,-153.9258206,302.9707895
Complexity,44.58097872,23.41932371,23.60232014,-1.678718713,90.84067615
Depth_m,-186.7568551,58.68863871,59.16544008,-302.7189868,-70.79472344
HabitatCrest,95.80358786,27.10306926,27.27548147,42.34462652,149.2625492
HabitatSlope,384.99103,75.24385894,75.78230481,236.4604419,533.5216181
Rao,-59.07167351,19.83841451,19.98189627,-98.23547054,-19.90787648
StressTolerant,89.45058215,22.30492816,22.4628326,45.42423927,133.476925
no_genera,42.91486655,32.97793922,33.14479783,-22.04774347,107.8774766
Generalist,21.83448773,23.93485046,24.13352954,-25.46636099,69.13533645
ManagementMarine reserve,-2.429505631,21.85538086,22.03679862,-45.62083726,40.761826
CWMFecundity,12.18307747,17.12470451,17.26685374,-21.65933399,46.02548894
Competitive,2.216816469,21.17636891,21.35215031,-39.63262913,44.06626207
CWMMaxsize,10.12935686,16.19199233,16.32639927,-21.86979772,42.12851143
Weedy,-5.986248222,18.46999313,18.62330937,-42.48726385,30.51476741
CWMBranching,2.776469861,17.72180223,17.86890787,-32.24594601,37.79888573
CWMBrooding,2.195062633,16.3415451,16.47719346,-30.09964312,34.48976838
