"","Intercept","Competitive.rescale","Complexity.rescale","CWMBranching.rescale","CWMBrooding.rescale","CWMFecundity.rescale","CWMMaxsize.rescale","Depth_m.rescale","Generalist.rescale","Habitat","Management","no_genera.rescale","Rao.rescale","StressTolerant.rescale","Weedy.rescale","df","logLik","AICc","delta","weight"
"835",2.85763359392384,NA,0.276570489045137,NA,NA,NA,NA,0.549690469795546,NA,"+","+",NA,NA,NA,NA,11,-42.4954066475484,108.811502950269,0,0.115347369551419
"67",2.53021129221078,NA,0.293899039636742,NA,NA,NA,NA,-0.172530879381257,NA,NA,NA,NA,NA,NA,NA,8,-45.9744399810011,108.921852934975,0.110349984705877,0.109155469092153
"579",2.47546901644139,NA,0.277463812482055,NA,NA,NA,NA,-0.163130952611454,NA,NA,"+",NA,NA,NA,NA,9,-45.3655310340085,109.955551863935,1.14404891366605,0.0650999462436931
"259",2.65544982222864,NA,0.282663430641631,NA,NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,9,-45.5701083278447,110.364706451608,1.55320350133839,0.0530559188305082
"323",2.87664142927213,NA,0.285122588366774,NA,NA,NA,NA,0.475874526536395,NA,"+",NA,NA,NA,NA,NA,10,-44.4971422854379,110.501133885944,1.68963093567498,0.04955745544177
"771",2.59976330838788,NA,0.265709476324593,NA,NA,NA,NA,NA,NA,"+","+",NA,NA,NA,NA,10,-44.500305671904,110.507460658877,1.69595770860724,0.0494009337577445
"3",2.50876204682504,NA,0.196333220850186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,-48.2123069895843,111.176291831518,2.36478888124832,0.03535902768069
"515",2.44861202126252,NA,0.18549494362378,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,8,-47.1226493155208,111.218271604015,2.40676865374532,0.0346245806563018
"2051",2.48738800412625,NA,0.230150325606136,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.119637242049159,NA,NA,8,-47.7060555501318,112.385084073236,3.57358112296721,0.0193203243860934
"4",2.51355971758871,0.115749639947688,0.184798261834792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,-47.9356257762281,112.844224525429,4.03272157515978,0.0153572456613524
"513",2.49010370751347,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,7,-49.1416377257309,113.034953303811,4.22345035354151,0.0139603756155006
"2563",2.43693148135092,NA,0.215644384820372,NA,NA,NA,NA,NA,NA,NA,"+",NA,-0.10720485381374,NA,NA,9,-47.154517619806,113.53352503553,4.72202208526103,0.0108801185517281
"516",2.45677603125095,0.106481368658813,0.176444977339835,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,9,-47.2236047885863,113.671699373091,4.86019642282163,0.0101538197920775
"68",2.52950468110977,0.0655152964319073,0.271123468047647,NA,NA,NA,NA,-0.144036910404682,NA,NA,NA,NA,NA,NA,NA,9,-47.30219806619,113.828885928298,5.017382978029,0.00938635173671683
"2115",2.51553686420151,NA,0.29262353944829,NA,NA,NA,NA,-0.139357998779451,NA,NA,NA,NA,-0.059525903058516,NA,NA,9,-47.3955404049869,114.015570605892,5.20406765562298,0.00854985524576956
"1",2.56005030326038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,-50.7768840763707,114.113768152741,5.30226520247216,0.00814020675086789
"195",2.52683005112992,NA,0.266918964675409,NA,NA,NA,NA,-0.178508899390125,0.0547275003541809,NA,NA,NA,NA,NA,NA,9,-47.4612425800815,114.146974956081,5.33547200581206,0.0080061674618209
"71",2.53198146570251,NA,0.300752410387843,0.0268167263212592,NA,NA,NA,-0.171750949837747,NA,NA,NA,NA,NA,NA,NA,9,-47.7263264646409,114.6771427252,5.86563977493087,0.00614186408403991
"839",2.86133367628898,NA,0.285052704980219,0.0222512256546444,NA,NA,NA,0.565428338125439,NA,"+","+",NA,NA,NA,NA,12,-44.2566686059232,114.680003878513,5.86850092824379,0.00613308395847288
"99",2.53324311073758,NA,0.29817890621293,NA,NA,NA,-0.0377159513190431,-0.188493252186956,NA,NA,NA,NA,NA,NA,NA,9,-47.8051562991277,114.834802394174,6.02329944390449,0.00567629345137882
"843",2.86723679268513,NA,0.278196774231219,NA,0.0227402711950529,NA,NA,0.558054218310725,NA,"+","+",NA,NA,NA,NA,12,-44.3795952650336,114.925857196734,6.11435424646457,0.00542366104545199
"836",2.83870739770219,0.0299862476082342,0.267973576528597,NA,NA,NA,NA,0.526437533847126,NA,"+","+",NA,NA,NA,NA,12,-44.3865429172771,114.939752501221,6.12824955095162,0.00538610993171008
"75",2.53014743079608,NA,0.294351619069513,NA,0.00166968810952098,NA,NA,-0.172930052514009,NA,NA,NA,NA,NA,NA,NA,9,-47.918392628059,115.061275052036,6.24977210176708,0.00506858724774888
"8259",2.53095747724535,NA,0.284562863685533,NA,NA,NA,NA,-0.176930093700202,NA,NA,NA,NA,NA,NA,0.017765846705423,9,-47.922051356589,115.068592509096,6.25708955882705,0.00505007654644345
"851",2.85572306536256,NA,0.282699708968997,NA,NA,-0.0200623258120445,NA,0.555092019179894,NA,"+","+",NA,NA,NA,NA,12,-44.4596842567379,115.086035180142,6.27453222987309,0.00500622463603085
"83",2.53062531130482,NA,0.296073983082105,NA,NA,-0.0146674289947491,NA,-0.169310456614431,NA,NA,NA,NA,NA,NA,NA,9,-47.9350376877591,115.094565171436,6.28306222116721,0.00498491857717087
"580",2.47546665210799,0.0603814526548989,0.257709206190596,NA,NA,NA,NA,-0.137640842174562,NA,NA,"+",NA,NA,NA,NA,10,-46.8037432038363,115.114335722741,6.30283277247185,0.00493588404217713
"1091",2.52743189500429,NA,0.309185988472779,NA,NA,NA,NA,-0.167042180396643,NA,NA,NA,-0.0221705890379431,NA,NA,NA,9,-47.9569420572342,115.138373910387,6.32687096011746,0.00487691428021571
