"","Intercept","Competitive.rescale","Complexity.rescale","CWMBranching.rescale","CWMBrooding.rescale","CWMFecundity.rescale","CWMMaxsize.rescale","Depth_m.rescale","Generalist.rescale","Habitat","Management","no_genera.rescale","Rao.rescale","StressTolerant.rescale","Weedy.rescale","df","logLik","AICc","delta","weight"
"579",1.72466047902665,NA,0.258379367550305,NA,NA,NA,NA,0.147327822137729,NA,NA,"+",NA,NA,NA,NA,9,-28.6794410648728,76.583371925664,0,0.347864751863387
"515",1.72491713810826,NA,0.335496343938592,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,8,-30.1685290205049,77.3100310139828,0.726659088318854,0.241890275425206
"580",1.73980444523945,0.0707192008849653,0.250484257223845,NA,NA,NA,NA,0.164668957160121,NA,NA,"+",NA,NA,NA,NA,10,-29.6243647149973,80.7555787450632,4.17220681939919,0.0431943781110137
"587",1.72163049366264,NA,0.252431954579428,NA,-0.0623449122407983,NA,NA,0.157549503977397,NA,NA,"+",NA,NA,NA,NA,10,-29.8366066818641,81.1800626787967,4.59669075313273,0.0349342730658048
"771",1.69990576709338,NA,0.229612566697067,NA,NA,NA,NA,NA,NA,"+","+",NA,NA,NA,NA,10,-30.4013054326868,82.3094601804421,5.72608825477816,0.0198612308448773
"1603",1.72426269516742,NA,0.266936842103592,NA,NA,NA,NA,0.156123955205559,NA,NA,"+",-0.0421128775307561,NA,NA,NA,10,-30.5430017979575,82.5928529109835,6.00948098531954,0.0172372590969832
"707",1.7202877498579,NA,0.254991691957612,NA,NA,NA,NA,0.157518376674045,-0.0311872668265024,NA,"+",NA,NA,NA,NA,10,-30.5972730887813,82.7013954926312,6.11802356696721,0.0163267028110495
"523",1.72284342447768,NA,0.335108485373036,NA,-0.0482999284038626,NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,9,-31.7949621948062,82.8144141855308,6.2310422598668,0.0154296754156751
"516",1.73462180169672,0.0454895217003874,0.336594568496503,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,9,-31.8472001626875,82.9188901212934,6.33551819562939,0.0146443509782629
"4675",1.72377183131399,NA,0.262697140498452,NA,NA,NA,NA,0.153381834584015,NA,NA,"+",NA,NA,-0.0244612352519267,NA,10,-30.71404088528,82.9349310856285,6.35155915996448,0.0145273659875207
