"","Intercept","Competitive.rescale","Complexity.rescale","CWMBranching.rescale","CWMBrooding.rescale","CWMFecundity.rescale","CWMMaxsize.rescale","Depth_m.rescale","Generalist.rescale","Habitat","Management","no_genera.rescale","Rao.rescale","StressTolerant.rescale","Weedy.rescale","df","logLik","AICc","delta","weight"
"67",1.69431660245708,NA,0.365043509017507,NA,NA,NA,NA,0.518121815064916,NA,NA,NA,NA,NA,NA,NA,8,-56.9147831697753,130.802539312524,0,0.119734899203259
"8259",1.70514344371442,NA,0.421916316164894,NA,NA,NA,NA,0.560578624854327,NA,NA,NA,NA,NA,NA,-0.160322166570442,9,-55.9113907995188,131.047271394956,0.244732082432336,0.105944363580494
"75",1.69438957219176,NA,0.359569149297368,NA,-0.138718493276038,NA,NA,0.557589633105952,NA,NA,NA,NA,NA,NA,NA,9,-56.3103935537422,131.845276903403,1.04273759087931,0.0710874870322241
"71",1.69273111451986,NA,0.346749008389624,-0.135066061435469,NA,NA,NA,0.516205462639312,NA,NA,NA,NA,NA,NA,NA,9,-56.485053288612,132.194596373142,1.39205706061881,0.0596951988172676
"579",1.64342109893982,NA,0.351105644019049,NA,NA,NA,NA,0.527497547808103,NA,NA,"+",NA,NA,NA,NA,9,-57.1036542941953,133.431798384309,2.6292590717855,0.032157657082991
"8275",1.69723761373868,NA,0.448576556502921,NA,NA,0.115051827968408,NA,0.538574491564356,NA,NA,NA,NA,NA,NA,-0.182129346522804,10,-56.0336438480375,133.574137011144,2.77159769862004,0.029948560990417
"8771",1.65556771772109,NA,0.407579212966686,NA,NA,NA,NA,0.57035562045595,NA,NA,"+",NA,NA,NA,-0.16120572312694,10,-56.1136715009748,133.734192317018,2.93165300449459,0.0276452417183058
"587",1.6441247902823,NA,0.34526703408288,NA,-0.137488758263904,NA,NA,0.566179293567718,NA,NA,"+",NA,NA,NA,NA,10,-56.5018131723418,134.510475659752,3.7079363472285,0.0187522163738967
"195",1.70838729310232,NA,0.399606021997488,NA,NA,NA,NA,0.527326008396287,-0.100396733502697,NA,NA,NA,NA,NA,NA,9,-57.7295467686286,134.683583333176,3.88104402065204,0.0171973983787007
"583",1.64091992433956,NA,0.332353141652992,-0.136271200819281,NA,NA,NA,0.526086215913393,NA,NA,"+",NA,NA,NA,NA,10,-56.5956561793789,134.698161673826,3.89562236130269,0.0170724993708475
"8263",1.70150064770821,NA,0.396133205022009,-0.0979004028857516,NA,NA,NA,0.549679076290626,NA,NA,NA,NA,NA,NA,-0.127428529558103,10,-56.6068852754242,134.720619865917,3.91808055339328,0.0168818629760216
"83",1.68703263850556,NA,0.380274008648473,NA,NA,0.0866841684520363,NA,0.497426919371305,NA,NA,NA,NA,NA,NA,NA,9,-57.8025190135145,134.829527822947,4.02698851042391,0.0159871595264029
"12355",1.70970153038346,NA,0.402779408620328,NA,NA,NA,NA,0.551039433397404,NA,NA,NA,NA,NA,0.0911709222509008,-0.185557320430317,10,-56.6678979607676,134.842645236604,4.04010592408025,0.0158826475404379
"79",1.69316558238471,NA,0.346647377226694,-0.106260128741261,-0.112703342670153,NA,NA,0.547648615414829,NA,NA,NA,NA,NA,NA,NA,10,-56.757086141877,135.021021598823,4.21848228629898,0.0145274357527967
"8267",1.70208605671379,NA,0.401732785774707,NA,-0.0882058558464829,NA,NA,0.573318532391902,NA,NA,NA,NA,NA,NA,-0.115011466328892,10,-56.8738631828103,135.254575680689,4.45203636816547,0.012926273448922
"203",1.70995987916619,NA,0.395444926341663,NA,-0.142490195024275,NA,NA,0.567708106862544,-0.10868553700043,NA,NA,NA,NA,NA,NA,10,-56.9580238934167,135.422897101902,4.62035778937826,0.0118829099706408
"2123",1.71632704374564,NA,0.392186555317553,NA,-0.173282760938593,NA,NA,0.507513955113986,NA,NA,NA,NA,0.0990015342384799,NA,NA,10,-57.0094241011031,135.525697517275,4.72315820475114,0.0112875576175742
"91",1.68786412656262,NA,0.375011780733563,NA,-0.137254891511257,0.0851377646826188,NA,0.53723176514772,NA,NA,NA,NA,NA,NA,NA,10,-57.2129494647997,135.932748244668,5.1302089321444,0.00920894836381948
"259",1.42735475028308,NA,0.38233092935104,NA,NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,9,-58.4105865375941,136.045662871107,5.24312355858308,0.00870343996999577
"4163",1.69585317964979,NA,0.349926969963066,NA,NA,NA,NA,0.50950062745615,NA,NA,NA,NA,NA,0.0515659968507802,NA,9,-58.4611655104714,136.146820816861,5.34428150433763,0.00827417628312655
"99",1.69620479872511,NA,0.336885404251572,NA,NA,NA,0.0512726808466899,0.546936596299744,NA,NA,NA,NA,NA,NA,NA,9,-58.5005909871958,136.22567177031,5.42313245778644,0.00795430981412617
"8387",1.70980571535783,NA,0.430971409520153,NA,NA,NA,NA,0.560565229895661,-0.0398198246205426,NA,NA,NA,NA,NA,-0.147276577721982,10,-57.397986642537,136.302822600143,5.50028328761897,0.00765331189683512
"76",1.68860022815842,-0.0788105406795785,0.410397639668138,NA,-0.168532465770302,NA,NA,0.529786247170574,NA,NA,NA,NA,NA,NA,NA,10,-57.4344552997547,136.375759914578,5.57322060205428,0.00737923389254385
"267",1.41359176619657,NA,0.364462048324807,NA,-0.149026753193624,NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,10,-57.4574797873931,136.421808889855,5.61926957733118,0.00721127185299132
"2115",1.70383668196804,NA,0.379200198701829,NA,NA,NA,NA,0.49302901799218,NA,NA,NA,NA,0.041563986923006,NA,NA,9,-58.6021634590971,136.428816714113,5.62627740158911,0.00718604840625737
"199",1.70513581565472,NA,0.377445415826618,-0.129551520390146,NA,NA,NA,0.524003844634739,-0.089083478618918,NA,NA,NA,NA,NA,NA,10,-57.4688628328773,136.444574980823,5.64203566829957,0.00712965104549602
"10307",1.71683802861705,NA,0.441256301537515,NA,NA,NA,NA,0.53002468193878,NA,NA,NA,NA,0.0519588984948193,NA,-0.164291507705281,10,-57.4690305897737,136.444910494616,5.6423711820924,0.00712845509768114
"9283",1.70787027347722,NA,0.411572993607659,NA,NA,NA,NA,0.553231387727248,NA,NA,NA,0.0440783204086012,NA,NA,-0.177071792597712,10,-57.5198121894293,136.546473693927,5.74393438140356,0.00677549844278856
"8787",1.65151740887556,NA,0.435093784916607,NA,NA,0.109432457371124,NA,0.54812709986064,NA,NA,"+",NA,NA,NA,-0.18079335433197,11,-56.4139196415282,136.648528938229,5.84598962570524,0.00643843380656163
"8451",1.4284458781192,NA,0.427701574156085,NA,NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,-0.158089916717519,10,-57.590887262452,136.688623839973,5.88608452744899,0.00631064482266157
"68",1.69342393040841,-0.0120770342735947,0.373049337522808,NA,NA,NA,NA,0.512509510569559,NA,NA,NA,NA,NA,NA,NA,9,-58.7439428265713,136.712375449061,5.90983613653748,0.00623614409185538
"1091",1.69402070907859,NA,0.369533563572754,NA,NA,NA,NA,0.521505538937281,NA,NA,NA,-0.0119621023180967,NA,NA,NA,9,-58.8029461704538,136.830382136826,6.02784282430241,0.005878835590663
"8291",1.70522797940513,NA,0.421111957464958,NA,NA,NA,0.00119557389218152,0.561233864395495,NA,NA,NA,NA,NA,NA,-0.160064111120989,10,-57.7095797929617,136.926008900992,6.12346958846837,0.00560436260702722
"707",1.65515731435235,NA,0.388617355987575,NA,NA,NA,NA,0.539358904282348,-0.113440303336216,NA,"+",NA,NA,NA,NA,10,-57.7097408235265,136.926330962121,6.12379164959793,0.00560346020601038
"8260",1.70371009297061,-0.0200365647225683,0.435674465898964,NA,NA,NA,NA,0.551551306830017,NA,NA,NA,NA,NA,NA,-0.16144898633424,10,-57.7276571857802,136.962163686629,6.15962437410531,0.00550396058032224
"263",1.45000274714392,NA,0.333066777720265,-0.146144500111228,NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,10,-57.9006397697212,137.308128854511,6.50558954198726,0.00462966890461584
"8775",1.6509209677217,NA,0.381005215128197,-0.0998380342730267,NA,NA,NA,0.559231663860844,NA,NA,"+",NA,NA,NA,-0.126980603838307,11,-56.7511271245492,137.322943904271,6.52040459174722,0.00459550122223314
"4171",1.69604131870094,NA,0.346350805544888,NA,-0.136469730325782,NA,NA,0.548935114184209,NA,NA,NA,NA,NA,0.0460670758231162,NA,10,-57.9300441111739,137.366937537416,6.56439822489273,0.0044955185069488
"211",1.70419844735826,NA,0.430357304146426,NA,NA,0.111018296853868,NA,0.502858491117464,-0.13441760940333,NA,NA,NA,NA,NA,NA,10,-58.0034941230499,137.513837561168,6.71129824864482,0.00417715754193094
"715",1.65662857220077,NA,0.38387173741204,NA,-0.142685894152653,NA,NA,0.579711993388937,-0.123987391583998,NA,"+",NA,NA,NA,NA,11,-56.8680451479175,137.556779951007,6.75424063848388,0.00408842498403492
"591",1.64180799530461,NA,0.331898666250096,-0.108294107772849,-0.111377721976273,NA,NA,0.55652666849296,NA,NA,"+",NA,NA,NA,NA,11,-56.8722722030958,137.565234061364,6.7626947488404,0.00407117946060335
"2635",1.66256968361191,NA,0.380863263398567,NA,-0.174482296382777,NA,NA,0.51163972177502,NA,NA,"+",NA,0.109183948516198,NA,NA,11,-56.9263814615097,137.673452578192,6.87091326566818,0.003856744727474
"107",1.69414596798593,NA,0.364675593837452,NA,-0.142507269454798,NA,-0.00978888930735724,0.553577179811602,NA,NA,NA,NA,NA,NA,NA,10,-58.0838654867715,137.674580288612,6.87204097608804,0.00385457069484344
"595",1.63815326002931,NA,0.367276136959393,NA,NA,0.0829718726355133,NA,0.507340116380541,NA,NA,"+",NA,NA,NA,NA,10,-58.0846355064399,137.676120327948,6.87358101542469,0.00385160374204808
"8467",1.44653560633132,NA,0.439188099682775,NA,NA,0.140369994060782,NA,NA,NA,"+",NA,NA,NA,NA,-0.189993300642514,11,-56.9387552656628,137.698200186498,6.89566087397449,0.00380931616457328
"4291",1.72117615546243,NA,0.389021221043845,NA,NA,NA,NA,0.51416416595069,-0.166661120921398,NA,NA,NA,NA,0.110296592800154,NA,10,-58.160553918279,137.827957151627,7.025417839103,0.00357002002886143
"1095",1.6911630059108,NA,0.360301700032735,-0.144122429369872,NA,NA,NA,0.52721343052515,NA,NA,NA,-0.0418635898098698,NA,NA,NA,10,-58.1634710612853,137.833791437639,7.0312521251156,0.00355962094508359
"87",1.69049797395729,NA,0.354594896758056,-0.119153901674469,NA,0.031835782145989,NA,0.509145915868597,NA,NA,NA,NA,NA,NA,NA,10,-58.1832025458976,137.873254406864,7.07071509434013,0.00349007274027419
"12867",1.66283631733765,NA,0.390442826041187,NA,NA,NA,NA,0.560605404631565,NA,NA,"+",NA,NA,0.0847879427743365,-0.183253016912027,11,-57.0313536038603,137.883396862893,7.08085755036942,0.00347241858757227
"1099",1.69429920681927,NA,0.361730145255078,NA,-0.138652900079731,NA,NA,0.559228494251402,NA,NA,NA,-0.00608539915384007,NA,NA,NA,10,-58.2115513146638,137.929951944396,7.12741263187252,0.00339252271961294
"8779",1.65247526725237,NA,0.387189667247319,NA,-0.0879383473492146,NA,NA,0.582486607116508,NA,NA,"+",NA,NA,NA,-0.115247327808037,11,-57.0725488768374,137.965787408847,7.16324809632366,0.00333227774439175
"103",1.69393933466644,NA,0.331827400632495,-0.130495627620505,NA,NA,0.0283251401874888,0.531742177333983,NA,NA,NA,NA,NA,NA,NA,10,-58.2525234111048,138.011896137278,7.20935682475454,0.00325633299230628
"4167",1.69248954318512,NA,0.348754014897886,-0.139494065296809,NA,NA,NA,0.517711607948988,NA,NA,NA,NA,NA,-0.00875161487620227,NA,10,-58.2826940252099,138.072237365488,7.26969805296483,0.00315955469754427
"2119",1.69016359732312,NA,0.342112535115056,-0.140132402269254,NA,NA,NA,0.523336345108877,NA,NA,NA,NA,-0.0120162227491292,NA,NA,10,-58.3212869905841,138.149423296237,7.3468839837131,0.00303994108043998
"72",1.6932553379335,0.00693395887180132,0.342218550130496,-0.135929508160721,NA,NA,NA,0.519273610059568,NA,NA,NA,NA,NA,NA,NA,10,-58.3261654140963,138.159180143261,7.35664083073749,0.00302514707544859
"8283",1.69535567236257,NA,0.430157583223166,NA,-0.0753652292891414,0.107956717846309,NA,0.551045157915447,NA,NA,NA,NA,NA,NA,-0.141838765683706,11,-57.2054964283575,138.231682511887,7.42914319936395,0.00291744585401338
"219",1.70619121624705,NA,0.426311945898734,NA,-0.141379271471521,0.110326147141044,NA,0.543652521693018,-0.141082593983914,NA,NA,NA,NA,NA,NA,11,-57.2172422834137,138.255174222,7.4526349094763,0.00288337842509449
"323",1.54990619335256,NA,0.380654331226566,NA,NA,NA,NA,0.258665684266022,NA,"+",NA,NA,NA,NA,NA,10,-58.3771621679571,138.261173650983,7.45863433845909,0.00287474207282013
"8403",1.7051119882755,NA,0.467485801974899,NA,NA,0.125475264055126,NA,0.536254287646404,-0.0717073857836077,NA,NA,NA,NA,NA,-0.160923495557885,11,-57.2461150072222,138.312919669617,7.51038035709317,0.00280131779379611
"711",1.65138852650915,NA,0.3659579913532,-0.130093774173659,NA,NA,NA,0.536139840865175,-0.101796890591644,NA,"+",NA,NA,NA,NA,11,-57.3846256984895,138.589941052151,7.78740173962794,0.00243897838227512
"115",1.68823365062592,NA,0.327994022399418,NA,NA,0.125160567806407,0.106224191086593,0.548281200926877,NA,NA,NA,NA,NA,NA,NA,10,-58.5685124617985,138.643874238666,7.841334926142,0.00237408633538959
"12483",1.72441644193911,NA,0.420449189757428,NA,NA,NA,NA,0.547549169911968,-0.109686522567234,NA,NA,NA,NA,0.125599862763812,-0.159957558275801,11,-57.4188480737593,138.658385802691,7.85584649016747,0.00235692282510484
"588",1.63377541657882,-0.090132819370988,0.403382455602356,NA,-0.171102339905971,NA,NA,0.53491908662156,NA,NA,"+",NA,NA,NA,NA,11,-57.4332986754311,138.687287006035,7.88474769351106,0.00232310877727457
"5187",1.69424841460473,NA,0.373648455551126,NA,NA,NA,NA,0.532043968898577,NA,NA,NA,-0.173335100537888,NA,0.185148972748038,NA,10,-58.6115625663522,138.729974447773,7.92743513524937,0.0022740503985374
"611",1.64439217396862,NA,0.3173822448167,NA,NA,NA,0.0580425468724609,0.560793138127951,NA,NA,"+",NA,NA,NA,NA,10,-58.6173650733136,138.741579461696,7.93904014917206,0.0022608934139321
"8515",1.56430464804413,NA,0.426316292297739,NA,NA,NA,NA,0.286444553496508,NA,"+",NA,NA,NA,NA,-0.159952228698749,11,-57.4668292430055,138.754348141183,7.95180882865984,0.00224650508112742
"8899",1.65953500220209,NA,0.419690479443566,NA,NA,NA,NA,0.571411474899348,-0.0561053664774486,NA,"+",NA,NA,NA,-0.143778819762242,11,-57.4837395323784,138.788168719929,7.98562940740558,0.00220883543013423
"4299",1.72217507808013,NA,0.384812470919123,NA,-0.138419614156614,NA,NA,0.553267688562614,-0.169405827923371,NA,NA,NA,NA,0.105125673234374,NA,11,-57.4923365797856,138.805362814744,8.00282350222008,0.00218992736046878
"2627",1.65189327865251,NA,0.368255935025688,NA,NA,NA,NA,0.49704318391792,NA,NA,"+",NA,0.0521217824071855,NA,NA,10,-58.6530957070397,138.813040729148,8.01050141662438,0.00218153643955443
"8307",1.69715835340844,NA,0.416043216553235,NA,NA,0.132564841203868,0.0545248381917968,0.56027216630194,NA,NA,NA,NA,NA,NA,-0.166923288964111,11,-57.5138974621985,138.848484579569,8.04594526704582,0.00214321597307508
"10819",1.66606629975337,NA,0.429652840849325,NA,NA,NA,NA,0.535273369321274,NA,NA,"+",NA,0.0608921420657871,NA,-0.165562963383519,11,-57.5263867055931,138.873463066359,8.07092375383505,0.00211661528414576
"603",1.64037501995879,NA,0.361546892051434,NA,-0.135422783046291,0.0801023880791324,NA,0.546344636157996,NA,NA,"+",NA,NA,NA,NA,11,-57.5278079715264,138.876305598225,8.07376628570157,0.00211360914771427
"8279",1.69730321945243,NA,0.432431374950479,-0.0424588040344415,NA,0.0927335754966847,NA,0.538211845431519,NA,NA,NA,NA,NA,NA,-0.163757819264324,11,-57.5420222300375,138.904734115247,8.1021948027238,0.00208377827502874
"4675",1.64571233596164,NA,0.337320971266138,NA,NA,NA,NA,0.519552413443558,NA,NA,"+",NA,NA,0.0477245434782935,NA,10,-58.7000520225961,138.906953360261,8.10441404773712,0.00208146735012013
