"","Intercept","Competitive.rescale","Complexity.rescale","CWMBranching.rescale","CWMBrooding.rescale","CWMFecundity.rescale","CWMMaxsize.rescale","Depth_m.rescale","Generalist.rescale","Habitat","Management","no_genera.rescale","Rao.rescale","StressTolerant.rescale","Weedy.rescale","df","logLik","AICc","delta","weight"
"581",1.35090825271127,NA,NA,-0.309978880899851,NA,NA,NA,0.649470097803535,NA,NA,"+",NA,NA,NA,NA,9,-179.378760787048,377.982011370015,0,0.0738841482443203
"5697",1.36268124317237,NA,NA,NA,NA,NA,NA,0.723532148295266,NA,NA,"+",-0.490898619108976,NA,0.544509410872406,NA,10,-178.491308172313,378.489465659694,0.507454289679345,0.0573269679195281
"577",1.37789829971353,NA,NA,NA,NA,NA,NA,0.74064749117519,NA,NA,"+",NA,NA,NA,NA,8,-180.874178345797,378.721329664567,0.739318294552447,0.0510517158333749
"5699",1.3341687244453,NA,0.247673002991331,NA,NA,NA,NA,0.634878741476338,NA,NA,"+",-0.532372621528995,NA,0.515582522012983,NA,11,-178.399338630284,380.61936691574,2.63735554572497,0.0197631783943141
"579",1.35484711616653,NA,0.240738518085924,NA,NA,NA,NA,0.619784688955385,NA,NA,"+",NA,NA,NA,NA,9,-180.818004064851,380.86049792562,2.87848655560481,0.0175184572366041
"2625",1.42095369938891,NA,NA,NA,NA,NA,NA,0.633672297644443,NA,NA,"+",NA,0.219288324426107,NA,NA,9,-180.837125657795,380.898741111507,2.91672974149265,0.0171866587953939
"2629",1.38464218499348,NA,NA,-0.286596367891078,NA,NA,NA,0.576698944915468,NA,NA,"+",NA,0.16848254749605,NA,NA,10,-179.750507635334,381.007864585737,3.02585321572269,0.0162740480413439
"833",1.33087154876431,NA,NA,NA,NA,NA,NA,0.843770384631791,NA,"+","+",NA,NA,NA,NA,10,-179.890171619727,381.287192554523,3.30518118450857,0.0141527324281184
"5701",1.34700727580279,NA,NA,-0.181866188322932,NA,NA,NA,0.691045744108308,NA,NA,"+",-0.427431044210287,NA,0.43723749682339,NA,11,-178.75121531182,381.323120278813,3.34110890879811,0.0139007646270345
"593",1.37762970667053,NA,NA,NA,NA,0.176250823523328,NA,0.68628267942616,NA,NA,"+",NA,NA,NA,NA,9,-181.049409718836,381.32330923359,3.34129786357482,0.0138994513811334
"4673",1.39022864415798,NA,NA,NA,NA,NA,NA,0.650481569897795,NA,NA,"+",NA,NA,0.171166129907804,NA,9,-181.059375654656,381.34324110523,3.36122973521549,0.0137616182993498
"583",1.34249259467926,NA,0.138591707039259,-0.278916042018642,NA,NA,NA,0.587519236437473,NA,NA,"+",NA,NA,NA,NA,10,-179.919436127899,381.345721570867,3.36371020085221,0.0137445612682325
"5889",0.952898072042326,NA,NA,NA,NA,NA,NA,NA,NA,"+","+",-0.482097187660796,NA,0.539682355013519,NA,11,-178.979085964425,381.778861584022,3.79685021400712,0.0110681674958978
"835",1.30698128179885,NA,0.335538347147458,NA,NA,NA,NA,0.757772883430331,NA,"+","+",NA,NA,NA,NA,11,-178.991309253186,381.803308161544,3.82129679152968,0.0109337015706488
"7745",1.38409194843039,NA,NA,NA,NA,NA,NA,0.678089216651876,NA,NA,"+",-0.485242226433611,0.136601308858032,0.501021548447416,NA,11,-179.054348091226,381.929385837624,3.94737446760962,0.0102657290244886
"13889",1.37422293352977,NA,NA,NA,NA,NA,NA,0.731930654937095,NA,NA,"+",-0.424244004178714,NA,0.55219191926959,-0.13676139634288,11,-179.070238746662,381.961167148497,3.9791557784821,0.0101038891382339
"1605",1.33819820793528,NA,NA,-0.324318561731655,NA,NA,NA,0.696718916919985,NA,NA,"+",-0.0953188492486525,NA,NA,NA,10,-180.279225287848,382.065299890765,4.08328852075067,0.00959127702124469
"5825",1.37783039256793,NA,NA,NA,NA,NA,NA,0.724923217074682,-0.109519048870131,NA,"+",-0.424743847996893,NA,0.541726049367741,NA,11,-179.130945565521,382.082580786215,4.1005694162003,0.00950876109417321
"771",0.95855910619009,NA,0.361536421698445,NA,NA,NA,NA,NA,NA,"+","+",NA,NA,NA,NA,10,-180.303562192462,382.113973699993,4.13196232997825,0.00936067250911419
