"","Intercept","Competitive.rescale","Complexity.rescale","CWMBranching.rescale","CWMBrooding.rescale","CWMFecundity.rescale","CWMMaxsize.rescale","Depth_m.rescale","Generalist.rescale","Habitat","Management","no_genera.rescale","Rao.rescale","StressTolerant.rescale","Weedy.rescale","df","logLik","AICc","delta","weight"
"68",0.791689159925462,0.277080420328231,0.265321649980706,NA,NA,NA,NA,0.156876476980122,NA,NA,NA,NA,NA,NA,NA,9,-4.52779360134568,28.2800769986097,0,0.445478924612374
"4",0.805305495786423,0.225601567266122,0.377126689329331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,-7.20059280887571,31.3741585907244,3.09408159211467,0.0948322121794048
"260",0.64206865563528,0.274024767703503,0.242867076037648,NA,NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,10,-5.72266225854605,32.9521738321606,4.67209683355087,0.0430818382395901
"72",0.78782600555985,0.276051036337488,0.251417113899142,-0.0528647476814658,NA,NA,NA,0.154367210417209,NA,NA,NA,NA,NA,NA,NA,10,-6.07865504254218,33.6641594001529,5.38408240154313,0.0301778658790483
"76",0.790050489370424,0.25339456470095,0.273779976996832,NA,-0.0515904525195441,NA,NA,0.158353975448174,NA,NA,NA,NA,NA,NA,NA,10,-6.08132566855525,33.669500652179,5.38942365356927,0.0300973796076151
"580",0.801325898888579,0.280872664821546,0.266323503347686,NA,NA,NA,NA,0.157473647913309,NA,NA,"+",NA,NA,NA,NA,10,-6.30859060544995,34.1240305259684,5.84395352735867,0.0239788735718499
"196",0.787587328290045,0.279823776571063,0.249621541482028,NA,NA,NA,NA,0.156556836694494,0.0343406184334134,NA,NA,NA,NA,NA,NA,10,-6.42845000941236,34.3637493338932,6.08367233528348,0.0212703433361037
"2116",0.792715316483534,0.279561342817472,0.265065999593785,NA,NA,NA,NA,0.155202584190502,NA,NA,NA,NA,0.00467860427708931,NA,NA,10,-6.4311651553439,34.3691796257563,6.08910262714658,0.0212126695816929
"84",0.790940494305976,0.285672016309615,0.26033989733419,NA,NA,0.0287169119050109,NA,0.153572650131203,NA,NA,NA,NA,NA,NA,NA,10,-6.4797332675617,34.4663158501919,6.18623885158216,0.0202070289708371
"100",0.792698228797081,0.291049121856191,0.265118200070144,NA,NA,NA,-0.0216131321306563,0.153597008315839,NA,NA,NA,NA,NA,NA,NA,10,-6.49336066198683,34.4935706390421,6.21349364043242,0.0199335276049404
