"","Intercept","Competitive.rescale","Complexity.rescale","CWMBranching.rescale","CWMBrooding.rescale","CWMFecundity.rescale","CWMMaxsize.rescale","Depth_m.rescale","Generalist.rescale","Habitat","Management","no_genera.rescale","Rao.rescale","StressTolerant.rescale","Weedy.rescale","df","logLik","AICc","delta","weight"
"835",2.88548707215579,NA,0.276570489042778,NA,NA,NA,NA,0.549690469791701,NA,"+","+",NA,NA,NA,NA,11,-42.4954066475485,108.811502950269,0,0.115347369551368
"67",2.53021129221078,NA,0.293899039636742,NA,NA,NA,NA,-0.172530879381257,NA,NA,NA,NA,NA,NA,NA,8,-45.9744399810011,108.921852934975,0.11034998470582,0.109155469092108
"579",2.47546901644139,NA,0.277463812482055,NA,NA,NA,NA,-0.163130952611454,NA,NA,"+",NA,NA,NA,NA,9,-45.3655310340085,109.955551863935,1.144048913666,0.0650999462436663
"259",2.59769693105632,NA,0.282663430656667,NA,NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,9,-45.5701083278446,110.364706451608,1.55320350133827,0.0530559188304878
"323",2.89790030207531,NA,0.285122588362751,NA,NA,NA,NA,0.475874526523953,NA,"+",NA,NA,NA,NA,NA,10,-44.4971422854378,110.501133885944,1.68963093567481,0.0495574554417524
"771",2.53101511299941,NA,0.26570947571812,NA,NA,NA,NA,NA,NA,"+","+",NA,NA,NA,NA,10,-44.5003056719008,110.50746065887,1.69595770860076,0.0494009337578827
"3",2.50876204682504,NA,0.196333220850186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,-48.2123069895843,111.176291831518,2.36478888124826,0.0353590276806754
"515",2.44861202126252,NA,0.18549494362378,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,8,-47.1226493155208,111.218271604015,2.40676865374526,0.0346245806562875
"2051",2.48738800412625,NA,0.230150325606136,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.119637242049159,NA,NA,8,-47.7060555501318,112.385084073236,3.57358112296716,0.0193203243860854
"4",2.51355971758871,0.115749639947688,0.184798261834792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,-47.9356257762281,112.844224525429,4.03272157515973,0.0153572456613461
"513",2.49010370751347,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,7,-49.1416377257309,113.034953303811,4.22345035354145,0.0139603756154948
"2563",2.43693148135092,NA,0.215644384820372,NA,NA,NA,NA,NA,NA,NA,"+",NA,-0.10720485381374,NA,NA,9,-47.154517619806,113.53352503553,4.72202208526097,0.0108801185517236
"516",2.45677603125095,0.106481368658813,0.176444977339835,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,9,-47.2236047885863,113.671699373091,4.86019642282157,0.0101538197920733
"68",2.52950468110977,0.0655152964319073,0.271123468047647,NA,NA,NA,NA,-0.144036910404682,NA,NA,NA,NA,NA,NA,NA,9,-47.30219806619,113.828885928298,5.01738297802895,0.00938635173671296
"2115",2.51553686420151,NA,0.29262353944829,NA,NA,NA,NA,-0.139357998779451,NA,NA,NA,NA,-0.059525903058516,NA,NA,9,-47.3955404049869,114.015570605892,5.20406765562292,0.00854985524576603
"1",2.56005030326038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,-50.7768840763707,114.113768152741,5.3022652024721,0.00814020675086453
"195",2.52683005112992,NA,0.266918964675409,NA,NA,NA,NA,-0.178508899390125,0.0547275003541809,NA,NA,NA,NA,NA,NA,9,-47.4612425800815,114.146974956081,5.33547200581201,0.0080061674618176
"71",2.53198146570251,NA,0.300752410387843,0.0268167263212592,NA,NA,NA,-0.171750949837747,NA,NA,NA,NA,NA,NA,NA,9,-47.7263264646409,114.6771427252,5.86563977493081,0.00614186408403737
"839",2.90021270728084,NA,0.285052704990022,0.0222512256524839,NA,NA,NA,0.56542833813368,NA,"+","+",NA,NA,NA,NA,12,-44.2566686059232,114.680003878513,5.86850092824362,0.0061330839584707
"99",2.53324311073758,NA,0.29817890621293,NA,NA,NA,-0.0377159513190431,-0.188493252186956,NA,NA,NA,NA,NA,NA,NA,9,-47.8051562991277,114.834802394174,6.02329944390443,0.00567629345137648
"843",2.90044136288346,NA,0.27819677423746,NA,0.0227402711973725,NA,NA,0.558054218320201,NA,"+","+",NA,NA,NA,NA,12,-44.3795952650337,114.925857196734,6.11435424646463,0.00542366104544944
"836",2.8641517610117,0.0299862476135244,0.26797357652121,NA,NA,NA,NA,0.526437533801547,NA,"+","+",NA,NA,NA,NA,12,-44.3865429172771,114.939752501221,6.12824955095151,0.00538610993170801
"75",2.53014743079608,NA,0.294351619069513,NA,0.00166968810952098,NA,NA,-0.172930052514009,NA,NA,NA,NA,NA,NA,NA,9,-47.918392628059,115.061275052036,6.24977210176702,0.00506858724774678
"8259",2.53095747724535,NA,0.284562863685533,NA,NA,NA,NA,-0.176930093700202,NA,NA,NA,NA,NA,NA,0.017765846705423,9,-47.922051356589,115.068592509096,6.25708955882699,0.00505007654644136
"851",2.8912667916378,NA,0.282699708976161,NA,NA,-0.0200623258160164,NA,0.555092019208919,NA,"+","+",NA,NA,NA,NA,12,-44.4596842567379,115.086035180142,6.27453222987315,0.0050062246360285
"83",2.53062531130482,NA,0.296073983082105,NA,NA,-0.0146674289947491,NA,-0.169310456614431,NA,NA,NA,NA,NA,NA,NA,9,-47.9350376877591,115.094565171436,6.28306222116716,0.00498491857716881
"580",2.47546665210799,0.0603814526548989,0.257709206190596,NA,NA,NA,NA,-0.137640842174562,NA,NA,"+",NA,NA,NA,NA,10,-46.8037432038363,115.114335722741,6.30283277247179,0.0049358840421751
"1091",2.52743189500429,NA,0.309185988472779,NA,NA,NA,NA,-0.167042180396643,NA,NA,NA,-0.0221705890379431,NA,NA,NA,9,-47.9569420572342,115.138373910387,6.3268709601174,0.0048769142802137
"1859",2.89554576381932,NA,0.291366148009011,NA,NA,NA,NA,0.565669850099456,NA,"+","+",-0.0229018744139535,NA,NA,NA,12,-44.513283316048,115.193233298763,6.38173034849335,0.00474496001874379
"514",2.49181651446345,0.111975981700541,NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,8,-49.115574098681,115.204121170335,6.39261822006553,0.00471919894553053
"4931",2.89216286429502,NA,0.282087524642842,NA,NA,NA,NA,0.558787555978256,NA,"+","+",NA,NA,-0.00817278583938757,NA,12,-44.5223179143513,115.211302495369,6.39979954509998,0.00470228428036577
"867",2.88451273965593,NA,0.278212224272141,NA,NA,NA,-0.0102954949566947,0.543637314227064,NA,"+","+",NA,NA,NA,NA,12,-44.5235274543645,115.213721575396,6.40221862512639,0.00469660011767929
"9027",2.88385633569797,NA,0.277235294887029,NA,NA,NA,NA,0.548471202716332,NA,"+","+",NA,NA,NA,-0.000691045175556245,12,-44.5270930108649,115.220852688396,6.40934973812709,0.0046798839435415
"2883",2.87881338543199,NA,0.275384256191698,NA,NA,NA,NA,0.542852061009171,NA,"+","+",NA,0.000567296499552805,NA,NA,12,-44.5281970932898,115.223060853246,6.41155790297692,0.00467471981726391
"2",2.55741908248335,0.124393963477924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,-50.2554267611545,115.262531374658,6.45102842438858,0.00458336739981041
"963",2.88717843612765,NA,0.279416842079682,NA,NA,NA,NA,0.554856533562619,-0.00853993062997323,"+","+",NA,NA,NA,NA,12,-44.5609144400151,115.288495546697,6.47699259642751,0.00452425029192779
"4163",2.5300987984996,NA,0.294374494989902,NA,NA,NA,NA,-0.17241025892934,NA,NA,NA,NA,NA,0.000297824943401905,NA,9,-48.0408498425733,115.306189481065,6.49468653079556,0.00448440093097035
"2627",2.46553362860575,NA,0.276732699972936,NA,NA,NA,NA,-0.135922859264324,NA,NA,"+",NA,-0.0503200039666502,NA,NA,10,-46.9351342961944,115.377117907457,6.5656149571879,0.00432815217584303
"387",2.59648090600442,NA,0.253963675629673,NA,NA,NA,NA,NA,0.0556853348461867,"+",NA,NA,NA,NA,NA,10,-47.0517555892983,115.610360493665,6.7988575433958,0.00385171848557033
"707",2.47493147642171,NA,0.262436320146753,NA,NA,NA,NA,-0.167879701155079,0.0358464684704828,NA,"+",NA,NA,NA,NA,10,-47.097103348289,115.701056011646,6.88955306137706,0.0036809528658758
"583",2.47694805111731,NA,0.284594405534927,0.0272886900407455,NA,NA,NA,-0.162299189533471,NA,NA,"+",NA,NA,NA,NA,10,-47.1226369538248,115.752123222718,6.94062027244865,0.00358815464568828
"260",2.58653909016919,0.0501586183754587,0.266039933448181,NA,NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,10,-47.1791778860804,115.865205087229,7.05370213695988,0.00339090589655794
"1603",2.47059174694179,NA,0.298867873880835,NA,NA,NA,NA,-0.154753585093695,NA,NA,"+",-0.0334304191857693,NA,NA,NA,10,-47.2297993401447,115.966447995358,7.15494504508854,0.00322352556885261
"595",2.47540821326058,NA,0.281009343273708,NA,NA,-0.0250824203956702,NA,-0.157951109147301,NA,NA,"+",NA,NA,NA,NA,10,-47.2783254638517,116.063500242772,7.25199729250261,0.00307083506896391
"291",2.6157278186532,NA,0.288994118807324,NA,NA,NA,-0.0492090695815371,NA,NA,"+",NA,NA,NA,NA,NA,10,-47.290115844376,116.087081003821,7.27557805355116,0.0030348413616915
"324",2.88036825921555,0.0473067838393127,0.269536148770111,NA,NA,NA,NA,0.464893151379339,NA,"+",NA,NA,NA,NA,NA,11,-46.14894109495,116.118571845072,7.30706889480314,0.00298743073752098
"587",2.4753207322018,NA,0.277894588965508,NA,0.00151635731554751,NA,NA,-0.163479994594144,NA,NA,"+",NA,NA,NA,NA,10,-47.3145947848609,116.13603888479,7.3245359345209,0.00296145355309177
