"","Intercept","Competitive.rescale","Complexity.rescale","CWMBranching.rescale","CWMBrooding.rescale","CWMFecundity.rescale","CWMMaxsize.rescale","Depth_m.rescale","Generalist.rescale","Habitat","Management","no_genera.rescale","Rao.rescale","StressTolerant.rescale","Weedy.rescale","df","logLik","AICc","delta","weight"
"8267",1.38467150546847,NA,0.495765499559117,NA,-0.245609708934425,NA,NA,0.458413517648926,NA,NA,NA,NA,NA,NA,0.336531156268324,10,-107.585702154318,236.678253623705,0,0.0485870288493191
"195",1.36925108590744,NA,0.521223646798193,NA,NA,NA,NA,0.455725008843544,0.275804479054264,NA,NA,NA,NA,NA,NA,9,-108.856619805477,236.937729406872,0.259475783167204,0.0426752321063157
"4354",0.758758307444534,0.272525369050667,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,NA,0.400196005446579,NA,10,-107.901547948445,237.309945211959,0.63169158825383,0.0354282953681712
"4355",0.901987356508998,NA,0.395914578185944,NA,NA,NA,NA,NA,NA,"+",NA,NA,NA,0.277747807405935,NA,10,-108.150516282579,237.807881880227,1.12962825652187,0.0276200641595867
"4356",0.864608457365615,0.199808264335995,0.266312567634021,NA,NA,NA,NA,NA,NA,"+",NA,NA,NA,0.313816457361617,NA,11,-107.074392863133,237.969475381438,1.2912217577335,0.0254762264266737
"8260",1.40142715808532,0.20429719819145,0.434553326883732,NA,NA,NA,NA,0.498867691397203,NA,NA,NA,NA,NA,NA,0.263604221116194,10,-108.507282167768,238.521413650605,1.84316002690059,0.0193322867294336
"8259",1.38985742494868,NA,0.556580153975338,NA,NA,NA,NA,0.429588972237019,NA,NA,NA,NA,NA,NA,0.22660066768195,9,-109.666857004766,238.55820380545,1.87995018174558,0.018979918673232
"196",1.37840750108091,0.16260884888069,0.42942373829656,NA,NA,NA,NA,0.518863257718244,0.282129630835733,NA,NA,NA,NA,NA,NA,10,-108.543373528717,238.593596372503,1.91534274879859,0.0186469990590266
"1091",1.41423558614754,NA,0.51437127844751,NA,NA,NA,NA,0.420125505170151,NA,NA,NA,0.226208373702689,NA,NA,NA,9,-109.691499374272,238.607488544462,1.92923492075738,0.0185179242018008
"1283",0.956272824861567,NA,0.411999980235693,NA,NA,NA,NA,NA,NA,"+",NA,0.25779237362228,NA,NA,NA,10,-108.860076557222,239.227002429512,2.54874880580678,0.0135852167286283
"8395",1.37186200199011,NA,0.456753038485831,NA,-0.224419603712864,NA,NA,0.456028610574962,0.163713120300482,NA,NA,NA,NA,NA,0.261962955667936,11,-107.774459754558,239.369609164288,2.69135554058309,0.0126502734164334
"387",0.922944742210378,NA,0.452639251267706,NA,NA,NA,NA,NA,0.279621286925991,"+",NA,NA,NA,NA,NA,10,-108.949722561747,239.406294438563,2.7280408148581,0.0124203491962445
"1092",1.42714794104894,0.184524487729606,0.402763837955325,NA,NA,NA,NA,0.484154853041395,NA,NA,NA,0.247387281414307,NA,NA,NA,10,-108.973600947778,239.454051210624,2.77579758691877,0.0121272841879906
"4163",1.40478897225777,NA,0.532514049270983,NA,NA,NA,NA,0.431558717837725,NA,NA,NA,NA,NA,0.202256162353813,NA,9,-110.202937095961,239.630363987841,2.95211036413571,0.0111039557322878
"67",1.39510210464168,NA,0.630787382563068,NA,NA,NA,NA,0.478141848279196,NA,NA,NA,NA,NA,NA,NA,8,-111.349090432366,239.671153837705,2.99290021400003,0.0108797851302925
"4418",0.894760134059774,0.270114502888751,NA,NA,NA,NA,NA,0.215882348019638,NA,"+",NA,NA,NA,0.38780698071983,NA,11,-107.954295222068,239.729280099308,3.05102647560315,0.0105681352095182
"4419",1.08299186870485,NA,0.40095262855613,NA,NA,NA,NA,0.282504260086142,NA,"+",NA,NA,NA,0.263684252936023,NA,11,-107.988941510812,239.798572676797,3.12031905309172,0.0102082587355583
"8387",1.37244186715751,NA,0.502085660514135,NA,NA,NA,NA,0.429175029735529,0.206069488230241,NA,NA,NA,NA,NA,0.146017865832201,10,-109.222554898986,239.951959113041,3.27370548933607,0.00945462324845164
"12356",1.41247769609111,0.223539406302674,0.355980830932083,NA,NA,NA,NA,0.473103755169161,NA,NA,NA,NA,NA,0.175834747298029,0.21480520614836,11,-108.100685586423,240.022060828018,3.34380720431315,0.00912897112902884
"4164",1.41727120049712,0.193786090019511,0.412800813683119,NA,NA,NA,NA,0.497654225547853,NA,NA,NA,NA,NA,0.232375697258755,NA,10,-109.268415084633,240.043679484335,3.36542586062967,0.00903082448959665
"12546",0.818121269350791,0.287413055138117,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,NA,0.344277564278512,0.152164269575537,11,-108.138549189319,240.097788033811,3.41953441010614,0.00878977746136487
"4420",1.0341008116551,0.195926329610528,0.274629002230318,NA,NA,NA,NA,0.263342694217417,NA,"+",NA,NA,NA,0.298078194011477,NA,12,-106.989672877252,240.146012421171,3.4677587974659,0.00858037141003502
"8268",1.39285641521293,0.125719871140366,0.436093101365549,NA,-0.18655886697856,NA,NA,0.493611661165353,NA,NA,NA,NA,NA,NA,0.333452660866023,11,-108.180943291777,240.182576238727,3.50432261502223,0.00842493104527368
"203",1.36704746102563,NA,0.504254684445855,NA,-0.120488185645136,NA,NA,0.48191982853296,0.283973894313804,NA,NA,NA,NA,NA,NA,10,-109.406768897474,240.320387110016,3.6421334863112,0.00786395653719454
"8388",1.38487940085267,0.193393935970444,0.389114004577915,NA,NA,NA,NA,0.495403337610646,0.193416667477109,NA,NA,NA,NA,NA,0.185449421322964,11,-108.264534760849,240.349759176871,3.6715055531657,0.00774931011974516
"4363",0.855773678927661,NA,0.369443569897445,NA,-0.143727398073618,NA,NA,NA,NA,"+",NA,NA,NA,0.279632344901642,NA,11,-108.281807534585,240.384304724343,3.70605110063852,0.00761660741065814
"9291",1.39655590172101,NA,0.454623354441428,NA,-0.22515978494208,NA,NA,0.436206234884508,NA,NA,NA,0.117571047751123,NA,NA,0.278953385052428,11,-108.287425941212,240.395541537597,3.71728791389248,0.0075739342030767
"1284",0.929640676852813,0.177787655597366,0.303687132138617,NA,NA,NA,NA,NA,NA,"+",NA,0.280218827374891,NA,NA,NA,11,-108.307400405431,240.435490466034,3.75723684232955,0.00742414983661569
"451",1.21948833952207,NA,0.448277613485276,NA,NA,NA,NA,0.465249900429775,0.277586996474238,"+",NA,NA,NA,NA,NA,11,-108.319365532433,240.459420720039,3.78116709633443,0.0073358482641665
