lower.95ci,upper.95ci,variable,Estimate,Std..Error,df,trophic
0.569329157,1.01882888,(Intercept),0.794079019,0.114670404,NA,Corallivore
0.179502614,0.356587699,Competitive.rescale,0.268045157,0.045175597,NA,Corallivore
0.153244637,0.41664538,Complexity.rescale,0.284945009,0.067195302,NA,Corallivore
-0.016207508,0.274892401,Depth_m.rescale,0.129342446,0.074261545,NA,Corallivore
2.201976823,3.065057418,(Intercept),2.633517121,0.220177667,NA,Herbivore
0.123945541,0.411387844,Complexity.rescale,0.267666692,0.073328466,NA,Herbivore
-0.518163421,0.734903661,Depth_m.rescale,0.10837012,0.319665844,NA,Herbivore
-0.125984816,0.134249686,HabitatCrest,0.004132435,0.066387572,NA,Herbivore
-0.979543783,0.457342135,HabitatSlope,-0.261100824,0.366559266,NA,Herbivore
-0.126021342,0.334161622,ManagementMarine reserve,0.10407014,0.11739577,NA,Herbivore
-0.052446456,0.043739208,Rao.rescale,-0.004353624,0.02453761,NA,Herbivore
1.675446681,1.774084816,(Intercept),1.724765749,0.025163252,NA,Invertivore
0.179127915,0.400890465,Complexity.rescale,0.29000919,0.056573119,NA,Invertivore
-0.07802633,0.251827837,Depth_m.rescale,0.086900754,0.084148017,NA,Invertivore
0.174902931,0.338648455,ManagementMarine reserve,0.256775693,0.041772585,NA,Invertivore
1.347888778,2.028916104,(Intercept),1.688402441,0.173734653,NA,Mixed.diet
0.239000608,0.521946733,Complexity.rescale,0.380473671,0.07218146,NA,Mixed.diet
0.40597928,0.673958157,Depth_m.rescale,0.539968718,0.068363214,NA,Mixed.diet
-0.224580926,0.112019153,Weedy.rescale,-0.056280886,0.085868945,NA,Mixed.diet
-0.138537233,0.090333594,CWMBrooding.rescale,-0.024101819,0.058386488,NA,Mixed.diet
-0.13446254,0.087798634,CWMBranching.rescale,-0.023331953,0.056700321,NA,Mixed.diet
-0.115314589,0.17375029,ManagementMarine reserve,0.029217851,0.073742395,NA,Mixed.diet
-0.053147184,0.066499327,CWMFecundity.rescale,0.006676072,0.03052263,NA,Mixed.diet
-0.047888124,0.041197543,Generalist.rescale,-0.003345291,0.022726353,NA,Mixed.diet
0.810361277,1.961456189,(Intercept),1.385908733,0.293652057,NA,Piscivore
-0.400079325,0.21408734,CWMBranching.rescale,-0.092995992,0.156678048,NA,Piscivore
0.223907839,1.10113124,Depth_m.rescale,0.662519539,0.223785592,NA,Piscivore
0.236424071,0.830098628,ManagementMarine reserve,0.533261349,0.151450374,NA,Piscivore
-0.659704997,0.335128645,no_genera.rescale,-0.162288176,0.253788756,NA,Piscivore
-0.346234987,0.710969014,StressTolerant.rescale,0.182367014,0.269699854,NA,Piscivore
-0.189697418,0.270203399,Complexity.rescale,0.04025299,0.117323793,NA,Piscivore
-0.136620955,0.179999587,Rao.rescale,0.021689316,0.080772031,NA,Piscivore
-0.301957481,0.230276647,HabitatCrest,-0.035840417,0.135776507,NA,Piscivore
-0.449105044,0.425130084,HabitatSlope,-0.01198748,0.223023263,NA,Piscivore
-0.074422636,0.087852183,CWMFecundity.rescale,0.006714774,0.041397398,NA,Piscivore
-0.067488576,0.059913541,Weedy.rescale,-0.003787518,0.032501137,NA,Piscivore
0.298639282,2.085138995,(Intercept),1.191889138,0.455748097,NA,Planktivore
-0.015046538,0.77987584,Complexity.rescale,0.382414651,0.202790047,NA,Planktivore
-0.239156136,0.149019497,CWMBrooding.rescale,-0.04506832,0.099026216,NA,Planktivore
-0.183238246,0.790606492,Depth_m.rescale,0.303684123,0.248434345,NA,Planktivore
-0.186734977,0.36748567,Weedy.rescale,0.090375347,0.141385416,NA,Planktivore
-0.176268753,0.306064096,Generalist.rescale,0.064897672,0.123046355,NA,Planktivore
-0.150508985,0.331834473,Competitive.rescale,0.090662744,0.123049062,NA,Planktivore
-0.27341196,0.611895454,HabitatCrest,0.169241747,0.225847878,NA,Planktivore
-0.50950502,1.10847195,HabitatSlope,0.299483465,0.412756812,NA,Planktivore
-0.2014738,0.430456605,StressTolerant.rescale,0.114491402,0.161209698,NA,Planktivore
-0.143416449,0.216137669,no_genera.rescale,0.03636061,0.091724675,NA,Planktivore
